DB	ID	ID_REPET	TE_LEN	FAMILY	CHR	START	END	STRAND	LEN_DIFF	INTERSECT	INTERACT	TYPE_INTERACT	NMERGE
FLYBASE	FBti0060585	.	61	INE-1	2L	634184	634245	-	-1	0	0	-	0
BOTH	FBti0019098	ISO1_1_roo	8981	roo	2L	686974	695955	-	0	8981	1	N	0
BOTH	FBti0019099	ISO1_2_Bari1	1727	Bari1	2L	770516	772243	-	4	1727	1	N	0
REPET	ISO1_3_LARD	.	1376	LARD	2L	782903	784279	-	-1	0	0	-	0
REPET	ISO1_4_LARD	.	403	LARD	2L	955569	955972	+	-1	0	0	-	0
REPET	ISO1_5_Rt1c	.	103	Rt1c	2L	958311	958414	+	-1	0	0	-	0
REPET	ISO1_6_LARD	.	417	LARD	2L	975640	976057	-	-1	0	0	-	0
BOTH	FBti0019100	ISO1_7_roo	7577	roo	2L	976935	984512	+	0	7577	1	N	0
BOTH	FBti0019101	ISO1_8_roo	9036	roo	2L	996780	1005816	-	1	9036	1	N	0
REPET	ISO1_9_LARD	.	296	LARD	2L	1216557	1216853	-	-1	0	0	-	0
BOTH	FBti0019102	ISO1_10_blood	7408	blood	2L	1220184	1227592	+	3	7408	1	N	0
REPET	ISO1_11_LARD	.	306	LARD	2L	1274630	1274936	+	-1	0	0	-	0
BOTH	FBti0019103	ISO1_12_gypsy	481	gypsy	2L	1301807	1302288	-	4	481	1	N	0
REPET	ISO1_13_LARD	.	1383	LARD	2L	1310342	1311725	-	-1	0	0	-	0
BOTH	FBti0019104	ISO1_14_F-element	2809	F-element	2L	1570745	1573554	+	0	2809	1	N	0
BOTH	FBti0019105	ISO1_15_jockey	248	jockey	2L	1618309	1618557	-	5	248	1	N	0
BOTH	FBti0019106	ISO1_16_blood	7407	blood	2L	1679032	1686439	+	3	7407	1	N	0
BOTH	FBti0019107	ISO1_17_mdg3	267	mdg3	2L	1711411	1711678	-	0	267	1	N	0
BOTH	FBti0019108	ISO1_18_mdg3	5519	mdg3	2L	1801273	1806792	-	0	5519	1	N	0
BOTH	FBti0060681	ISO1_19_roo	9092	roo	2L	2100430	2109522	-	0	9092	1	N	0
